"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
"","",8,0,251,252 days,100.0,146.379933,46.379933,49.448649,100.0,0.0,16.243308,73 days,2,1,1,5.124992,100.000000,41.254941,41.254941,41.254941,NaN,129 days,NaT,inf,41.254941,1.685365,4.534440,1.369477,2.794049
"","",9,0,251,252 days,100.0,124.587706,24.587706,169.717624,100.0,0.0,7.756384,16 days,1,0,1,24.587706,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,1.841551,4.834106,1.605947,2.666453
"","",10,0,251,252 days,100.0,143.688156,43.688156,131.497585,100.0,0.0,7.756384,16 days,1,0,1,43.688156,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.512849,8.902111,1.725783,4.053483
"","",11,0,251,252 days,100.0,141.469265,41.469265,90.433905,100.0,0.0,9.023246,32 days,1,0,1,41.469265,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,2.177278,7.234672,1.511013,3.427342
"","",12,0,251,252 days,100.0,140.314843,40.314843,66.931638,100.0,0.0,9.023246,45 days,1,1,0,0.000000,100.000000,40.314843,40.314843,40.314843,NaN,150 days,NaT,inf,40.314843,2.098775,7.018571,1.477577,3.287840
"","",13,0,251,252 days,100.0,102.822365,2.822365,54.274231,100.0,0.0,7.859092,27 days,2,1,1,4.595068,0.000000,-1.772703,-1.772703,NaN,-1.772703,NaT,16 days 00:00:00,0.000000,-1.772703,0.471079,0.523430,1.219350,0.673077
"","",14,0,251,252 days,100.0,107.520461,7.520461,61.024533,100.0,0.0,7.859092,36 days,2,1,1,9.293164,0.000000,-1.772703,-1.772703,NaN,-1.772703,NaT,16 days 00:00:00,0.000000,-1.772703,0.836114,1.409060,1.245799,1.241493
"","",15,0,251,252 days,100.0,114.252756,14.252756,56.037917,100.0,0.0,9.020941,36 days,3,2,1,3.641442,50.000000,12.607510,-1.772703,12.607510,-1.772703,69 days,16 days 00:00:00,6.985953,5.305657,1.133652,2.359750,1.288402,1.809375
"","",16,0,251,252 days,100.0,94.289914,-5.710086,19.323915,100.0,0.0,18.349560,36 days,4,4,0,0.000000,50.000000,12.607510,-16.798593,7.531474,-9.285648,44 days,15 days 00:00:00,0.725610,-1.427522,-0.251309,-0.444890,0.950881,-0.339616
"","",17,0,251,252 days,100.0,94.289914,-5.710086,-1.804827,100.0,0.0,18.349560,65 days,4,4,0,0.000000,50.000000,12.607510,-16.798593,7.531474,-9.285648,44 days,15 days 00:00:00,0.725610,-1.427522,-0.251309,-0.444890,0.950881,-0.339616
"","",18,0,251,252 days,100.0,95.991558,-4.008442,-2.346845,100.0,0.0,18.349560,99 days,4,3,1,0.000000,66.666667,12.607510,-16.798593,7.531474,-16.798593,44 days,14 days 00:00:00,0.793176,-1.336147,-0.161696,-0.313539,0.965701,-0.220946
"","",19,0,251,252 days,100.0,72.686520,-27.313480,-6.721865,100.0,0.0,31.533235,133 days,3,3,0,0.000000,33.333333,2.455438,-16.798593,2.455438,-15.765089,19 days,17 days 00:00:00,0.082483,-9.104493,-2.100637,-1.173423,0.505376,-2.388185
13,53,0,0,251,252 days,100.0,79.828192,-20.171808,12.233055,100.0,0.0,20.171808,71 days,2,2,0,0.000000,0.000000,-9.359702,-11.928585,NaN,-10.644144,NaT,20 days 00:00:00,0.000000,-10.085904,-2.169690,-1.380264,0.470404,-2.457125
"","",1,0,251,252 days,100.0,80.829679,-19.170321,-4.137931,100.0,0.0,20.171808,105 days,3,2,1,1.001487,0.000000,-9.359702,-11.928585,NaN,-10.644144,NaT,20 days 00:00:00,0.000000,-10.085904,-1.996851,-1.315081,0.520435,-2.292588
"","",2,0,251,252 days,100.0,61.979112,-38.020888,-37.732028,100.0,0.0,38.020888,139 days,3,3,0,0.000000,0.000000,-9.359702,-22.359369,NaN,-14.549219,NaT,17 days 16:00:00,0.000000,-12.673629,-3.252045,-1.314717,0.335092,-3.443596
"","",3,0,251,252 days,100.0,66.174339,-33.825661,-31.156419,100.0,0.0,41.925204,174 days,4,3,1,4.195226,0.000000,-9.359702,-22.359369,NaN,-14.549219,NaT,17 days 16:00:00,0.000000,-12.673629,-2.254889,-1.073576,0.548756,-2.598882
"","",4,0,251,252 days,100.0,84.392909,-15.607091,-6.756252,100.0,0.0,38.740659,163 days,3,2,1,16.013706,0.000000,-11.928585,-22.359369,NaN,-17.143977,NaT,19 days 00:00:00,0.000000,-15.810399,-0.645892,-0.562466,0.853850,-0.872888
"","",5,0,251,252 days,100.0,120.718907,20.718907,29.639547,100.0,0.0,28.918708,102 days,2,1,1,43.078275,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,0.967567,1.084223,1.272468,1.554001
"","",6,0,251,252 days,100.0,126.242746,26.242746,38.860759,100.0,0.0,28.918708,102 days,2,1,1,48.602115,0.000000,-22.359369,-22.359369,NaN,-22.359369,NaT,13 days 00:00:00,0.000000,-22.359369,1.118069,1.388325,1.272347,1.792874
"","",7,0,251,252 days,100.0,144.346878,44.346878,51.770207,100.0,0.0,16.243308,38 days,2,1,1,3.091937,100.000000,41.254941,41.254941,41.254941,NaN,129 days 00:00:00,NaT,inf,41.254941,1.725057,4.320046,1.439509,3.042761
