symbol,strategy,parameters,is_final,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,Total Trades per year
LINK/BTC,hhhl,"{'window_entry': 8, 'hh_hl_counts': 2, 'window_exit': 2, 'lh_counts': 2}",1,2017-11-10,2024-01-24,2265,100.0,829.6634130807565,729.6634130807565,1178.5713761362686,100.0,67.73359460648105,59.520346240627454,1182,71,70,1,6.047408077363002,40.0,136.65264373865017,-21.88424184543551,22.155368659095355,-6.757703822642622,16 days 12:51:25.714285714,5 days 19:25:42.857142857,1.5596726463451254,10.337371500048476,0.8102077304135623,0.6826299388914275,1.2612027169433409,1.5054309714398695,11.28476821192053
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 6, 'lh_counts': 4}",,2000-01-03,2024-01-24,6053,100.0,2853.872980181345,2753.872980181345,19360.859523228133,100.0,674.3050888425155,48.120779042398006,877,363,362,1,29.17623242166337,46.68508287292818,30.00133269389534,-16.630865535286745,5.502080384541235,-2.773329729921661,11 days 01:42:14.911242603,3 days 23:30:09.326424870,1.6229755996220572,7.526786596021223,0.879994276664485,0.46539157314253543,1.2148290331880878,1.2898160869269897,21.58929456467867
AAPL,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 5, 'lh_counts': 4}",,2000-01-03,2024-01-24,6053,100.0,5512.473404515068,5412.473404515068,19360.859523228133,100.0,1303.980993176308,53.724684534741606,1040,383,382,1,56.356118995229735,45.0261780104712,30.46838825834413,-16.63086553528673,6.130669362508766,-2.782191070433048,11 days 17:34:53.023255814,4 days 04:20:34.285714285,1.6068918198002562,14.021249438533598,0.9781683163621694,0.5091065851874294,1.2287202532663393,1.4743569113182935,22.778787378159592
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 4, 'lh_counts': 4}",1,2000-01-03,2024-01-24,6053,100.0,14997.775036417172,14897.775036417173,19360.859523228133,100.0,3095.3924620860457,45.53239510174416,877,412,411,1,153.32797686129925,50.36496350364964,38.7415854342326,-18.715323057430652,6.166518616874387,-3.3265320442927098,12 days 00:27:49.565217391,5 days 04:00:00,1.6762237428971845,35.87456705488051,1.0765207901258786,0.7747118466659147,1.2279165433415815,1.62458156466846,24.50355195770692
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 2, 'window_exit': 2, 'lh_counts': 2}",1,2000-01-03,2024-01-24,6053,100.0,509.5230359247342,409.5230359247342,19360.859523228133,100.0,182.39275380793134,32.24127392258646,852,377,376,1,-1.9242570458809496,45.21276595744681,24.592625478955632,-13.498053858995243,4.006415595615344,-2.336661816945682,7 days 09:52:56.470588235,2 days 21:54:10.485436893,1.3947664107052904,1.0942747153473826,0.5542587352574732,0.3199936742839554,1.1498280004342292,0.8071611424254506,22.421939534115314
AAPL,hhhl,"{'window_entry': 4, 'hh_hl_counts': 2, 'window_exit': 2, 'lh_counts': 2}",,2000-01-03,2024-01-24,6053,100.0,1148.4145011655094,1048.4145011655094,19360.859523228133,100.0,348.38420732674,32.864398295777846,901,339,338,1,-4.337084959169488,43.19526627218935,34.316543498285405,-13.498053858995235,5.338974163034579,-2.5223611351469417,10 days 07:53:25.479452054,3 days 16:45:00,1.4724993391509096,3.1146496630907654,0.7361953569119181,0.482517196340351,1.1877533757813492,1.0807184174467035,20.16190318850157
AAPL,hhhl,"{'window_entry': 2, 'hh_hl_counts': 2, 'window_exit': 3, 'lh_counts': 3}",1,2000-01-03,2024-01-24,6053,100.0,1163.2793293928694,1063.2793293928694,19360.859523228133,100.0,453.43627761820983,37.318277160310075,1125,350,349,1,-4.393223246225261,46.41833810888252,25.293262298587223,-11.39649757948157,4.411598977672997,-2.2924898181918363,8 days 17:19:59.999999999,3 days 19:38:10.909090909,1.4191823930538527,3.059233675183653,0.7453482069066671,0.4273380824593185,1.1991730265122247,1.1533939078903916,20.816124235916075
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 4, 'lh_counts': 2}",1,2000-01-03,2024-01-24,6053,100.0,1571.7934131617699,1471.7934131617699,19360.859523228133,100.0,638.4516325794259,48.28897235337633,781,415,414,1,16.069043808086235,48.309178743961354,29.215146597981956,-16.63086553528673,4.7777985042473645,-2.899296466741477,8 days 18:36:00,3 days 06:16:49.345794392,1.3291394129483591,3.5162424380523767,0.7532065055017628,0.3742274410673913,1.1874379696793367,1.093691507145776,24.68197587972906
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 3, 'lh_counts': 2}",,2000-01-03,2024-01-24,6053,100.0,1934.304502326102,1834.304502326102,19360.859523228133,100.0,729.818411961129,48.28897235337634,782,400,399,1,19.775132995074728,47.86967418546366,27.000637968613322,-16.63086553528674,5.022311237028773,-2.9013382914932775,9 days 09:02:49.633507853,3 days 12:55:23.076923076,1.3595004100566124,4.547692654964976,0.7967700666650288,0.4050181730264122,1.1964379389993927,1.1590630263488764,23.789856269618372
AAPL,hhhl,"{'window_entry': 3, 'hh_hl_counts': 1, 'window_exit': 5, 'lh_counts': 4}",1,2000-01-03,2024-01-24,6053,100.0,8324.479735600937,8224.479735600937,19360.859523228133,100.0,1750.417668702987,35.16284167070234,710,351,350,1,85.10433268823726,50.0,30.00133269389535,-16.630865535286723,5.891477552435819,-2.981985538930104,11 days 23:10:37.714285714,4 days 20:42:30.857142857,1.6677221678255525,23.2553582940363,1.0586849092098234,0.8690025967637299,1.2475410429039266,1.5994217191614415,20.87559887659012
DELL,hhhl,"{'window_entry': 2, 'hh_hl_counts': 1, 'window_exit': 4, 'lh_counts': 4}",1,2016-08-17,2024-01-24,1871,100.0,320.5802345528576,220.58023455285758,593.6712746095602,100.0,40.95240543342186,36.51881914862193,597,119,118,1,10.03710256515302,49.152542372881356,22.502639305825625,-23.444653049389135,6.397898331487068,-3.812082431361873,14 days 04:08:16.551724138,6 days 16:24:00,1.532980746973967,1.7842638304042762,0.8360265587129699,0.698712104168303,1.1780342984595285,1.2153126996288774,22.896846606093
